Reference, Value, Footprint, Datasheet
"CON1","JACK CARGA","Connectors:Banana_Jack_3Pin",""
"RL1","RE-12V","Relays_THT:Relay_DPDT_IM0(3,6,7)NS",""
"BT1","7,2v/2000mA","Connectors_Molex:Molex_KK-6410-02_02x2.54mm_Straight",""
"U1","LM317T","Power_Integrations:TO-220",""
"C1","100uF/25v","Capacitors_THT:C_Radial_D10_L20_P2.5",""
"U2","LM2940 - 5.0V","Power_Integrations:TO-220",""
"C3","10uF/25v","Capacitors_THT:C_Radial_D10_L20_P2.5",""
"C4","100uF/16v","Capacitors_THT:C_Radial_D10_L20_P2.5",""
"C2",".47uF","Capacitors_THT:C_Radial_D10_L20_P2.5",""
"R3","6.8ohm/1W","Resistors_ThroughHole:Resistor_Horizontal_RM15mm",""
"R2","22ohm","Resistors_ThroughHole:Resistor_Horizontal_RM10mm",""
"EI1","ON/OFF","Connectors_Molex:Molex_KK-6410-02_02x2.54mm_Straight",""
"D3","1N5820","Diodes_THT:Diode_DO-35_SOD27_Horizontal_RM10",""
"D1","ERROR CARGA","LEDs:LED-3MM",""
"R1","1K","Resistors_ThroughHole:Resistor_Horizontal_RM10mm",""
"Q1","BD244","Transistors_OldSowjetAera:OldSowjetaera_Transistor_Type-II_SmallPads",""
"D4","CARGA","LEDs:LED-3MM",""
"D2","1N4004","Diodes_THT:Diode_DO-35_SOD27_Horizontal_RM10",""
